Entity_Name,Entity_Type,Variable_Name,Type,Nullable,Default_Value,Security_Policies,Full_View_Definition
events_with_counts,VIEW (Virtual),id,uuid,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
events_with_counts,VIEW (Virtual),created_at,timestamp with time zone,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
events_with_counts,VIEW (Virtual),name,text,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
events_with_counts,VIEW (Virtual),event_name,text,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
events_with_counts,VIEW (Virtual),price_category,text,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
events_with_counts,VIEW (Virtual),location_data,jsonb,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
events_with_counts,VIEW (Virtual),event_date,date,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
events_with_counts,VIEW (Virtual),event_time_utc,timestamp with time zone,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
events_with_counts,VIEW (Virtual),relevant_links,ARRAY,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
events_with_counts,VIEW (Virtual),description,character varying,YES,null,NO RLS / PUBLIC OR VIEW," SELECT id,
    created_at,
    name,
    event_name,
    price_category,
    location_data,
    event_date,
    event_time_utc,
    relevant_links,
    description,
    photos,
    representative_emoji,
    hex_color,
    is_approved,
    user_id,
    zip_code,
    fav_count,
    trend_threshold_count,
    trend_window_peak_count,
    trend_window_started_at,
    lat,
    lng,
    event_time_utc_end,
    afters_address,
    afters_lat,
    afters_lng,
    ( SELECT count(*) AS count
           FROM event_attendance
          WHERE (event_attendance.event_id = events.id)) AS attendance_count
   FROM events;"
